source;target;timestamp
CG0005;SP65SP000292;1472-02-05
CG0005;SP65SP000292;1472-02-05
CG0005;SP01SP000293;1472-02-05
SP65SP000292;SP01SP000293;1472-02-05
CI0001;IG0019;1475-11-27
CI0001;ME0002;1475-11-27
IG0019;ME0002;1475-11-27
UK0115;RV0002;1478-05-01
UK0115;SP15SP001826;1478-05-01
SP07SP001878;RV0002;1478-05-01
SP07SP001878;SP15SP001826;1478-05-01
SP07SP001879;RV0002;1478-05-01
SP07SP001879;SP15SP001826;1478-05-01
UK0116;CG0001;1478-05-01
UK0116;CG0006;1478-05-01
SU0013;CG0001;1478-05-01
SU0013;CG0006;1478-05-01
PO0003;CG0001;1478-05-01
PO0003;CG0006;1478-05-01
AN0003;AD0002;1478-05-01
AN0003;PO0003;1478-05-01
UK0116;PO0003;1479-06-01
UK0116;CG0017;1479-06-01
SU0013;PO0003;1479-06-01
SU0013;CG0017;1479-06-01
BG0002;PO0003;1479-06-01
BG0002;CG0017;1479-06-01
UK0116;PO0003;1479-07-01
UK0116;CG0008;1479-07-01
SU0013;PO0003;1479-07-01
SU0013;CG0008;1479-07-01
UK0116;PO0003;1479-08-01
UK0116;CG0008;1479-08-01
SU0013;PO0003;1479-08-01
SU0013;CG0008;1479-08-01
SP07SP001881;MA0011;1479-08-01
SP07SP001881;UK0117;1479-08-01
SP01SP001880;MA0011;1479-08-01
SP01SP001880;UK0117;1479-08-01
SP0020;UK0117;1479-08-01
SP0020;DO0031;1479-08-01
SP0020;DO0030;1479-08-01
GE0019;UK0117;1479-08-01
GE0019;DO0031;1479-08-01
GE0019;DO0030;1479-08-01
UK0116;MA0011;1479-09-01
UK0116;DN0042;1479-09-01
UK0116;UK0117;1479-09-01
SU0013;MA0011;1479-09-01
SU0013;DN0042;1479-09-01
SU0013;UK0117;1479-09-01
PO0003;MA0011;1479-09-01
PO0003;DN0042;1479-09-01
PO0003;UK0117;1479-09-01
CG0018;MA0011;1479-09-01
CG0018;DN0042;1479-09-01
CG0018;UK0117;1479-09-01
GR0014;SP01SP000318;1480-10-02
SP0028;GE0019;1481-04-01
SP0028;GE0010;1481-04-01
PI0012;GE0019;1481-04-01
PI0012;GE0010;1481-04-01
UK0117;GE0019;1481-04-01
UK0117;GE0010;1481-04-01
FR0026;SP07SP001945;1482-03-11
SV0034;SP07SP001945;1482-03-11
SP0028;SP01SP001882;1482-04-01
SP0028;FL0030;1482-04-01
PI0012;SP01SP001882;1482-04-01
PI0012;FL0030;1482-04-01
CE0029;SP01SP001882;1482-04-01
CE0029;FL0030;1482-04-01
PI0001;SP01SP001882;1482-04-01
PI0001;FL0030;1482-04-01
CE0030;GE0019;1482-05-01
CE0030;DN0042;1482-05-01
CE0030;MA0011;1482-05-01
SP15SP000737;GE0019;1482-05-01
SP15SP000737;DN0042;1482-05-01
SP15SP000737;MA0011;1482-05-01
SP01SP001883;GE0019;1482-05-01
SP01SP001883;DN0042;1482-05-01
SP01SP001883;MA0011;1482-05-01
OD0001;SP01SP001884;1482-06-01
OD0001;PO0003;1482-06-01
OD0001;CG0018;1482-06-01
CE0030;SP01SP001884;1482-06-01
CE0030;PO0003;1482-06-01
CE0030;CG0018;1482-06-01
PI0001;SP01SP001884;1482-06-01
PI0001;PO0003;1482-06-01
PI0001;CG0018;1482-06-01
FL0004;SP07SP001945;1482-06-19
SV0036;SP07SP001945;1482-06-19
OD0001;SP07SP001885;1482-07-01
OD0001;GE0019;1482-07-01
OD0001;GE0014;1482-07-01
FL0030;SP07SP001885;1482-07-01
FL0030;GE0019;1482-07-01
