source;target;timestamp
CZ0001;RV0005;1500-04-02
CZ0001;RV0005;1500-04-02
CZ0001;RV0005;1500-04-02
AZ0056;BS0001;1499-04-10
GR0001;SC0001;1499-03-20
AZ0015;GR0001;1499-03-20
AZ0015;SC0001;1499-03-20
AZ0015;AZ0061;1499-03-20
AZ0061;GR0001;1499-03-20
AZ0061;SC0001;1499-03-20
SP01SP001901;SP07SP001914;1499-03-10
MO0006;SP07SP001914;1499-03-02
SP01SP000149;SP07SP001939;1499-02-02
AZ0056;SP01SP000990;1499-02-02
SP01SP000149;SP07SP001939;1499-02-10
BS0001;FL0013;1499-02-20
SP03SP000120;SP07SP001939;1498-05-20
AZ0058;FL0013;1498-05-10
GR0001;SP07SP001939;1497-05-02
AZ0006;GR0001;1497-05-02
AZ0006;SP07SP001939;1497-05-02
AZ0058;FL0013;1497-06-02
AZ0058;FL0013;1497-07-02
BS0001;FL0043;1497-07-10
AZ0058;FL0013;1497-07-20
SP01SP000001;SP01SP000249;1496-07-10
AZ0056;BS0001;1496-07-02
BS0001;FL0043;1496-06-02
BS0001;FL0043;1496-06-10
AZ0056;BS0001;1495-06-10
AZ0056;BS0001;1495-06-20
FL0034;SP01SP000149;1495-05-20
FL0004;SP01SP001934;1495-05-10
AZ0004;FL0013;1495-05-02
MO0006;SP07SP001931;1495-04-02
FL0042;SP01SP001901;1495-04-10
AZ0004;FL0013;1495-04-20
FL0013;SP01SP000149;1494-04-20
GR0001;SC0001;1494-03-20
FR0007;GR0001;1494-03-20
FR0007;SC0001;1494-03-20
FR0007;TF0001;1494-03-10
CL0006;PI0004;1494-03-02
CL0006;CT0003;1494-03-02
CT0003;PI0004;1494-03-02
AZ0004;FL0013;1494-03-10
AZ0004;FL0013;1494-03-10
AZ0004;FL0013;1494-03-20
AZ0052;FL0004;1494-02-20
SP01SP001901;SP07SP001916;1494-02-10
AZ0050;AZ0056;1494-02-02
DN0008;SP01SP001901;1493-05-02
DN0008;DN0026;1493-05-02
DN0026;SP01SP001901;1493-05-02
CT0003;PI0004;1493-04-02
CT0003;UK0120;1493-04-02
CT0003;UK0119;1493-04-02
PI0004;UK0120;1493-04-02
PI0004;UK0119;1493-04-02
UK0119;UK0120;1493-04-02
AZ0050;AZ0056;1493-04-10
SP01SP001901;SP07SP001916;1493-04-20
DN0008;SP01SP001901;1493-03-20
DN0008;DN0026;1493-03-20
DN0026;SP01SP001901;1493-03-20
CT0003;PI0004;1493-03-10
CL0006;CT0003;1493-03-10
CL0006;PI0004;1493-03-10
AZ0050;AZ0056;1493-03-02
CL0006;PI0004;1492-03-02
AZ0004;FL0013;1492-03-10
SP01SP001901;SP07SP001916;1492-03-20
AZ0052;FL0004;1492-02-20
AZ0057;CT0003;1492-02-10
FL0006;FL0041;1492-02-02
FL0004;FL0006;1492-02-02
FL0004;FL0041;1492-02-02
AZ0004;FL0013;1491-06-20
FR0007;US0001;1491-05-02
FR0007;GR0001;1491-05-20
CL0006;FR0007;1491-05-10
CL0006;PI0001;1491-05-10
FR0007;PI0001;1491-05-10
IT0005;PI0001;1491-04-10
FR0007;IT0005;1491-04-10
FR0007;PI0001;1491-04-10
FR0007;IT0005;1491-04-10
DN0008;DN0026;1491-04-02
RV0003;UK0119;1490-04-10
RV0003;UK0120;1490-04-10
UK0119;UK0120;1490-04-10
AZ0004;FL0013;1490-03-10
AZ0004;FL0004;1490-03-20
GR0001;PI0001;1490-02-20
FR0007;GR0001;1490-02-20
FR0007;PI0001;1490-02-20
DO0005;GE0021;1490-02-10
DO0005;GE0024;1490-02-10
GE0021;GE0024;1490-02-10
AZ0050;AZ0056;1490-02-02
AZ0050;AZ0056;1489-02-20
DM0001;PI0001;1489-02-20
DM0001;FR0007;1489-02-20
FR0007;PI0001;1489-02-20
BL0001;PI0001;1489-02-20
BL0001;FR0007;1489-02-20
FR0007;PI0001;1489-02-20
AZ0004;SP07SP001905;1489-02-20
AZ0050;AZ0056;1489-02-10
GR0001;PI0001;1489-02-02
FR0007;GR0001;1489-02-02
FR0007;PI0001;1489-02-02
AZ0004;FL0013;1488-03-02
CT0003;GI0007;1488-03-10
AZ0004;DN0026;1488-03-10
AZ0004;DN0008;1488-03-10
DN0008;DN0026;1488-03-10
OD0001;PI0006;1488-03-20
AZ0054;GI0007;1488-03-20
GE0021;PI0015;1488-02-20
GE0021;GE0024;1488-02-20
GE0024;PI0015;1488-02-20
GE0021;SP0004;1488-02-10
GE0021;GE0024;1488-02-10
GE0024;SP0004;1488-02-10
CE0032;GE0024;1488-02-10
CE0032;OD0001;1488-02-10
GE0024;OD0001;1488-02-10
CC0002;GE0021;1488-02-02
CC0002;GE0024;1488-02-02
GE0021;GE0024;1488-02-02
CT0003;FR0007;1488-01-20
FL0004;FL0036;1487-02-20
AZ0050;FL0030;1487-02-10
GE0020;GE0021;1487-02-02
FR0007;GE0020;1487-02-02
FR0007;GE0021;1487-02-02
CE0032;US0006;1487-01-02
CE0032;GE0024;1487-01-02
GE0024;US0006;1487-01-02
FL0004;FL0006;1487-01-20
FL0030;FL0034;1486-05-20
AN0003;GE0020;1486-05-10
AN0003;GE0021;1486-05-10
AN0003;FR0007;1486-05-10
GE0020;GE0021;1486-05-10
FR0007;GE0020;1486-05-10
FR0007;GE0021;1486-05-10
CE0031;SP01SP001901;1486-05-02
FL0033;GI0007;1486-04-20
AZ0052;FL0032;1486-04-10
SP07SP001886;SP07SP001895;1485-04-02
SP07SP001886;SP07SP001895;1485-03-20
OD0001;SP07SP001897;1485-03-02
SP07SP001895;SP07SP001896;1485-03-10
FL0030;SP0028;1485-02-10
FL0030;SP0028;1485-02-10
FL0030;PI0012;1485-02-02
SP01SP001894;SP07SP001886;1485-02-02
GE0020;GE0021;1485-10-10
GE0020;PI0012;1485-10-10
GE0021;PI0012;1485-10-10
FR0021;GE0020;1485-10-10
FR0021;GE0021;1485-10-10
FR0021;PI0012;1485-10-10
GE0020;GE0021;1485-10-05
FR0021;GE0020;1485-10-05
FR0021;GE0021;1485-10-05
GE0020;GE0021;1485-09-05
FR0021;GE0020;1485-09-05
FR0021;GE0021;1485-09-05
CT0037;GE0024;1485-09-05
GE0020;GE0021;1485-08-10
GE0020;PO0003;1485-08-10
GE0021;PO0003;1485-08-10
CG0018;GE0020;1485-08-10
CG0018;GE0021;1485-08-10
CG0018;PO0003;1485-08-10
CG0018;SO0003;1485-07-10
CG0018;PO0003;1485-07-10
PO0003;SO0003;1485-07-10
SP01SP001894;SP07SP001886;1485-07-10
PI0012;SP0028;1485-07-04
FL0030;SP0028;1485-07-04
FL0030;PI0012;1485-07-04
CL0002;OD0001;1485-06-10
GE0003;GE0023;1485-06-04
GE0024;OD0001;1485-05-10
GE0013;GE0023;1485-05-03
GE0019;GE0023;1484-08-03
FR0001;PO0003;1484-07-01
CG0018;FR0001;1484-07-01
CG0018;PO0003;1484-07-01
PO0003;SO0003;1484-06-01
CG0018;SO0003;1484-06-01
CG0018;PO0003;1484-06-01
CL0002;OD0001;1484-06-01
GE0020;GE0021;1484-05-01
GE0020;SP07SP001887;1484-05-01
GE0021;SP07SP001887;1484-05-01
GE0020;GE0021;1484-04-01
GE0020;SP07SP001886;1484-04-01
