id;lable
AD0001;Lorenzo Adorno
AD0002;Luco Batista Adorno
AD0003;Bernardo Adorno q. Niccolo
AD0004;Niculoso Adorno
AD0005;Andrea de Adorno
AD0006;Esteban Adorno
AD0007;Francisco Adorno
AD0008;Bartolome Adorno
AD0009;NULL
AD0010;Domenego Adorno
AD0011;Peretina Giustiniani
AD0012;Luquesia Adorno
AD0013;Jacome Adorno
AD0014;Leonis Adorno
AD0015;Agustin Adorno
AI0001;Bernaldo Aimari
AI0002;Bernabé Aimari
AI0003;Benito Aimari
AI0004;Juan Batista Ymare
AI0005;Francisco Ymare
AN0001;Francisco de Guan
AN0002;Guildardo de Guan
AN0003;Peligro di Guano
AN0004;Lope de Guano
AP0001;Lorenzo de Aponte
AP0002;Cristóbal de Aponte
AP0003;Rafael Aponte
AR0001;Lázaro de Arba
AR0002;Francisco Larca
AR0003;Antonio Arba
AZ0001;Donatyno de Marini
AZ0002;Melchor Gorricio
AZ0003;Francisco Gorricio
AZ0004;Jerónimo Rufaldi
AZ0005;Niculao Bocchino
AZ0006;Bartolomé Estela
AZ0007;Rafael Sanguineti
AZ0008;Juan Jacome de Carminati
AZ0009;Bartolomé de Milan
AZ0010;Diego de Pavona
AZ0011;Lorenzo Estella
AZ0012;Diego Caranella
AZ0013;Petrochino de Herber
AZ0014;Juan Alberto Gilardin
AZ0015;Jerónimo Bonesene
AZ0016;Tomas Colom
AZ0017;Alonso Tafur
AZ0018;Antonelo de la Rosa
AZ0019;Melchor Corella
AZ0020;Cristobal Fransesquin
AZ0021;Silvestre estrella
AZ0022;Francisco Roza
AZ0023;Bartolomeo Martinengo di Villachiara
AZ0024;Jacomo Fantoni
AZ0025;Sebastian Bonese
AZ0026;PAblo abrujas
AZ0027;Pelegro Casanova
AZ0028;Marcos de Remodin
AZ0029;Pellegrino Venery
AZ0030;Antonio Basso
AZ0031;Juan Francisco Affaittati
AZ0032;Nicolas Belogi
AZ0033;Francisco Segnorini
AZ0034;Batista Burgarini
AZ0035;Perot Vidania
AZ0036;Nicolas Guiso
AZ0037;Alfonso Basso
AZ0038;Pablo Affaittati
AZ0039;Antonio Melgosa
AZ0040;Andres Melgosa
AZ0041;Batista Cornelli
AZ0042;Nicolao Cornelli
AZ0043;Silvestre Cornelli
AZ0044;Urban de Novara
AZ0045;Francisco Pozzobonelli
AZ0046;Paolo Panigarola
AZ0047;Francesco della Cappa
AZ0048;Antonio Cortesi
AZ0049;Matteo di Bonaparte
AZ0050;Paolo Laudi
AZ0051;Martino de Colapizulo dellAquila
AZ0052;Donato Nicolini
AZ0053;Battista Bonaparte
AZ0054;Battista Cirlo
AZ0055;Francesco de Milan
AZ0056;Giovanni dellagnello
AZ0057;Nicola Caboto
AZ0058;Nicola Becarini
AZ0059;Alonso de Lanis
AZ0060;Juan de Lanis
AZ0061;Giuliano Bonese
AZ0062;Antonio Jacobo de Ancona
AZ0063;Jacobo Renoldi
AZ0064;Francisco Simonoli
AZ0065;Andrea Trisban
AZ0066;Adrian Passa Manello
AZ0067;Lorenzo Caboto
AZ0068;Jeronimo Cani
AZ0069;Tomas de Mateo Pelegrino
AZ0070;Jeronimo Costa
AZ0071;Niculao de Barlete
BA0001;Jerónimo Baro
BA0002;Guillermo Baro
BA0003;Bernabé de Naro
BA0004;Cristobal de Baro
BAL001;Cristoforus Balbus
Bç0001;Francisco de Barça
Bç0002;Jacomo de Barça
BD0001;Polo Bordon
BD0002;Anton Bordon
BG0001;Luis de Bocanegra
BG0002;Juan Bocanegra
BL0001;Carlo Borlo
BN0001;Bartolomé Bondinar
BN0002;Leonardo Bondinar
BN0003;Jacomo Bondinar
BO0001;Esteban Bonvicino
BO0002;Antonio Bonvicino
BO0003;Madaleta Bonvicino
BR0001;Silvestre de Brine
BR0002;Ginés de Brine
BR0003;Diego de Brine
BR0004;Esteban Brine
BR0005;Fernando de Briones
BR0006;Batista de Brine
BS0001;Leonardo de Bassignana
