source;target;timestamp
LA0002;FR0004;1520-08-31
LA0002;FI0007;1520-08-31
LA0002;FI0008;1520-08-31
IM0004;FR0004;1520-08-31
IM0004;FI0007;1520-08-31
IM0004;FI0008;1520-08-31
BR0001;FR0004;1520-08-31
BR0001;FI0007;1520-08-31
BR0001;FI0008;1520-08-31
PV0003;FL0012;1520-09-01
PV0003;AZ0024;1520-09-01
PV0003;PA0005;1520-09-01
SP01SP00123;FL0012;1520-09-01
SP01SP00123;AZ0024;1520-09-01
SP01SP00123;PA0005;1520-09-01
GR0010;FL0012;1520-09-01
GR0010;AZ0024;1520-09-01
GR0010;PA0005;1520-09-01
FL0017;FL0012;1520-09-01
FL0017;AZ0024;1520-09-01
FL0017;PA0005;1520-09-01
LA0002;GR0007;1520-09-01
LA0002;DO0016;1520-09-01
LA0002;GR0013;1520-09-01
BR0001;GR0007;1520-09-01
BR0001;DO0016;1520-09-01
BR0001;GR0013;1520-09-01
VI0008;GR0007;1520-09-01
VI0008;DO0016;1520-09-01
VI0008;GR0013;1520-09-01
VI0009;GR0007;1520-09-01
VI0009;DO0016;1520-09-01
VI0009;GR0013;1520-09-01
GE0011;CE0010;1520-10-01
GE0011;GR0004;1520-10-01
SP01SP001253;CE0010;1520-10-01
SP01SP001253;GR0004;1520-10-01
GR0010;SP01SP001256;1520-10-01
SP08SP000339;SP01SP001256;1520-10-01
GE0011;SP01SP001256;1520-10-01
SP08SP000339;SP01SP001256;1520-10-01
AZ0025;CE0008;1520-10-02
AZ0025;CE0008;1520-10-02
AZ0025;CE0008;1520-10-02
AZ0026;CE0008;1520-10-02
AZ0026;CE0008;1520-10-02
AZ0026;CE0008;1520-10-02
GR0010;SP08SP000136;1520-10-02
GR0010;SP05SP000410;1520-10-02
GR0009;SP08SP000136;1520-10-02
GR0009;SP05SP000410;1520-10-02
GR0007;SP08SP000136;1520-10-02
GR0007;SP05SP000410;1520-10-02
GR0007;SP00SP000951;1520-10-11
GR0007;SP01SP001254;1520-10-11
GR0010;SP00SP000951;1520-10-11
GR0010;SP01SP001254;1520-10-11
FL0018;SP01SP001261;1520-10-19
FL0018;SP01SP000904;1520-10-19
VN0002;SP01SP001261;1520-10-19
VN0002;SP01SP000904;1520-10-19
SP01SP001260;SP01SP001261;1520-10-19
SP01SP001260;SP01SP000904;1520-10-19
LZ0001;SP01SP001218;1520-10-29
GR0010;CE0010;1520-11-03
GR0010;GR0005;1520-11-03
GR0010;GR0004;1520-11-03
GR0009;CE0010;1520-11-03
GR0009;GR0005;1520-11-03
GR0009;GR0004;1520-11-03
GE0011;CE0010;1520-11-03
GE0011;GR0005;1520-11-03
GE0011;GR0004;1520-11-03
SP0028;SP00SP000951;1520-10-23
SP0028;SP01SP001274;1520-10-23
SP0028;SP01SP001275;1520-10-23
SP0037;SP00SP000951;1520-10-23
SP0037;SP01SP001274;1520-10-23
SP0037;SP01SP001275;1520-10-23
SP0005;SP00SP000951;1520-10-23
SP0005;SP01SP001274;1520-10-23
SP0005;SP01SP001275;1520-10-23
GE0015;SP00SP000951;1520-10-23
GE0015;SP01SP001274;1520-10-23
GE0015;SP01SP001275;1520-10-23
LO0019;SP00SP000951;1520-10-23
LO0019;SP01SP001274;1520-10-23
LO0019;SP01SP001275;1520-10-23
SP0028;SP00SP000951;1520-11-15
SP0028;SP01SP001274;1520-11-15
SP0028;SP01SP001275;1520-11-15
SP0037;SP00SP000951;1520-11-15
SP0037;SP01SP001274;1520-11-15
SP0037;SP01SP001275;1520-11-15
SP0005;SP00SP000951;1520-11-15
SP0005;SP01SP001274;1520-11-15
SP0005;SP01SP001275;1520-11-15
GE0015;SP00SP000951;1520-11-15
GE0015;SP01SP001274;1520-11-15
GE0015;SP01SP001275;1520-11-15
LO0019;SP00SP000951;1520-11-15
LO0019;SP01SP001274;1520-11-15
LO0019;SP01SP001275;1520-11-15
SP0028;CE0005;1520-10-23
SP0028;CE0005;1520-10-23
